type,entry_time,exittime,Entryvalue,exitvalue,entry,lot_size,pips,PnL,Equity,exit_type,SP,dd,per_dd,ContractName,BasketID,commision,MarginRequired,Duration
PE,2020-01-02 10:00:00,2020-01-02 12:14:00,94.9,71.85,Short,1,23.05000000000001,285.75000000000017,500285.75,Adj,32200,-95.24999999999991,0.019049999999999984,BANKNIFTY3190009JAN20PE,1,60,1423.5,0 days 02:14:00
PE,2020-01-02 10:00:00,2020-01-02 12:14:00,30.5,23.45,Long,1,-7.050000000000001,-165.75,500120.0,Adj,UP,-108.75,0.021737576974758924,BANKNIFTY3150009JAN20PE,1,60,457.5,0 days 02:14:00
PE,2020-01-02 12:14:00,2020-01-02 14:23:00,126.75,92.9,Short,1,33.849999999999994,447.7499999999999,500567.75,Adj,32200,-198.75,0.03974046228905063,BANKNIFTY3210009JAN20PE,1,60,1901.25,0 days 02:09:00
PE,2020-01-02 12:14:00,2020-01-02 14:23:00,42.2,31.25,Long,1,-10.950000000000003,-224.25000000000006,500343.5,Adj,UP,-164.25000000000006,0.03281274113244412,BANKNIFTY3170009JAN20PE,1,60,633.0,0 days 02:09:00
CE,2020-01-02 10:00:00,2020-01-03 09:30:00,108.55,119.0,Short,1,-10.450000000000003,-216.75000000000006,500126.75,Adj,32200,-1626.75,0.3251266379996942,BANKNIFTY3250009JAN20CE,1,60,1628.25,0 days 23:30:00
CE,2020-01-02 10:00:00,2020-01-03 09:30:00,28.8,34.6,Long,1,5.800000000000001,27.000000000000014,500153.75,Adj,UP,64.50000000000001,0.012896730678772936,BANKNIFTY3290009JAN20CE,1,60,432.0,0 days 23:30:00
BANKNIFTY3230009JAN20CE,2020-01-03 09:30:00,2020-01-03 11:10:00,216.6,162.95,Short,1,53.650000000000006,744.7500000000001,500898.5,SL,32200,-2754.0,0.5506306810655723,BANKNIFTY3230009JAN20CE,1,60,3249.0,0 days 01:40:00
BANKNIFTY3230009JAN20PE,2020-01-02 14:23:00,2020-01-03 11:10:00,159.4,343.0,Short,1,-183.6,-2814.0,498084.5,SL,32200,-2754.0,0.5498119878578195,BANKNIFTY3230009JAN20PE,1,60,2391.0,0 days 20:47:00
BANKNIFTY3270009JAN20CE,2020-01-03 09:30:00,2020-01-03 11:10:00,74.65,51.05,Long,1,-23.60000000000001,-414.0000000000001,497670.5,SL,32200,-365.2500000000001,0.07333093079587903,BANKNIFTY3270009JAN20CE,1,60,1119.75,0 days 01:40:00
BANKNIFTY3190009JAN20PE,2020-01-02 14:23:00,2020-01-03 11:10:00,56.4,154.95,Long,1,98.54999999999998,1418.2499999999998,499088.75,SL,32200,598.5,0.12026029270370657,BANKNIFTY3190009JAN20PE,1,60,846.0,0 days 20:47:00
PE,2020-01-09 10:00:00,2020-01-09 12:00:00,35.0,22.95,Long,1,-12.05,-240.75,498848.0,Adj,UP,-195.0,0.03907120727525916,BANKNIFTY3030016JAN20PE,2,60,525.0,0 days 02:00:00
PE,2020-01-09 10:00:00,2020-01-09 12:00:00,97.85,65.15,Short,1,32.69999999999999,430.49999999999983,499278.5,Adj,31800,-33.75,0.006765587914555135,BANKNIFTY3110016JAN20PE,2,60,1467.75,0 days 02:00:00
PE,2020-01-09 12:00:00,2020-01-09 13:27:00,105.5,86.55,Short,1,18.950000000000003,224.25000000000006,499502.75,Adj,31800,-82.5,0.01652384390675745,BANKNIFTY3140016JAN20PE,2,60,1582.5,0 days 01:27:00
PE,2020-01-09 12:00:00,2020-01-09 13:27:00,37.15,32.0,Long,1,-5.149999999999999,-137.24999999999997,499365.5,Adj,UP,-94.49999999999996,0.018918814761280087,BANKNIFTY3070016JAN20PE,2,60,557.25,0 days 01:27:00
